Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5;L6
6520;19;1;2021;7;11;16;18;21;23
6521;21;1;2021;8;18;23;27;30;31
6522;23;1;2021;9;10;15;25;29;46
6523;26;1;2021;10;13;19;20;30;31
6524;28;1;2021;3;15;32;41;44;48
6525;30;1;2021;2;12;14;18;35;46
6526;2;2;2021;7;15;24;29;32;40
6527;4;2;2021;2;7;15;28;34;49
6528;6;2;2021;15;34;39;41;47;49
6529;9;2;2021;2;8;11;16;20;34
6530;11;2;2021;10;18;31;35;44;45
6531;13;2;2021;10;13;20;21;22;32
6532;16;2;2021;27;29;37;42;45;46
6533;18;2;2021;10;18;20;22;37;48
6534;20;2;2021;32;35;38;41;45;46
6535;23;2;2021;3;4;16;35;38;42
6536;25;2;2021;2;11;16;22;25;49
6537;27;2;2021;16;17;20;44;48;49
6538;2;3;2021;13;15;30;38;40;49
6539;4;3;2021;2;6;14;21;22;44
6540;6;3;2021;6;20;30;32;36;43
6541;9;3;2021;3;12;17;39;41;44
6542;11;3;2021;17;23;28;30;31;34
6543;13;3;2021;6;9;15;18;21;27
6544;16;3;2021;9;14;18;31;35;49
6545;18;3;2021;10;20;22;25;40;45
6546;20;3;2021;7;13;26;33;36;43
6547;23;3;2021;8;16;23;25;36;39
6548;25;3;2021;5;20;22;27;33;48
6549;27;3;2021;5;6;19;25;41;47
6550;30;3;2021;8;14;22;24;31;44
6551;1;4;2021;5;7;11;22;33;44
6552;3;4;2021;1;10;28;29;30;46
6553;6;4;2021;10;16;24;28;38;43
6554;8;4;2021;3;13;15;16;17;44
6555;10;4;2021;8;13;15;16;22;25
6556;13;4;2021;6;9;10;14;26;37
6557;15;4;2021;11;16;26;29;30;35
6558;17;4;2021;4;6;11;39;42;46
6559;20;4;2021;10;25;28;35;39;44
6560;22;4;2021;5;23;25;27;35;45
6561;24;4;2021;21;22;28;39;42;44
6562;27;4;2021;7;20;24;30;32;41
6563;29;4;2021;4;9;19;21;23;46
6564;1;5;2021;12;13;14;22;32;46
6565;4;5;2021;10;14;17;34;44;49
6566;6;5;2021;15;40;43;44;45;48
6567;8;5;2021;6;14;17;31;41;43
6568;11;5;2021;3;13;22;28;30;43
6569;13;5;2021;7;11;13;21;33;36
6570;15;5;2021;11;19;23;25;39;48
6571;18;5;2021;6;12;15;24;42;45
6572;20;5;2021;16;21;25;28;31;36
6573;22;5;2021;5;26;29;41;48;49
6574;25;5;2021;32;35;38;45;48;49
6575;27;5;2021;14;16;27;28;34;49
6576;29;5;2021;17;23;29;36;37;40
6577;1;6;2021;9;10;17;41;43;46
6578;3;6;2021;8;24;30;32;37;49
6579;5;6;2021;1;8;10;39;43;47
6580;8;6;2021;1;12;18;27;36;44
6581;10;6;2021;10;16;21;24;30;47
6582;12;6;2021;10;23;25;39;46;48
6583;15;6;2021;12;14;17;27;29;49
6584;17;6;2021;6;15;18;23;35;49
6585;19;6;2021;2;7;36;40;43;49
6586;22;6;2021;4;13;17;21;22;28
6587;24;6;2021;18;23;25;36;37;45
6588;26;6;2021;2;13;22;31;45;47
6589;29;6;2021;2;4;21;29;33;45
6590;1;7;2021;17;41;42;46;47;48
6591;3;7;2021;1;8;9;16;17;38
6592;6;7;2021;4;15;26;38;39;43
6593;8;7;2021;4;5;37;38;44;48
6594;10;7;2021;10;13;23;28;35;44
6595;13;7;2021;2;18;20;21;22;37
6596;15;7;2021;3;26;34;40;44;45
6597;17;7;2021;4;14;36;37;43;44
6598;20;7;2021;2;8;18;22;39;40
6599;22;7;2021;1;4;9;19;23;32
6600;24;7;2021;3;9;28;36;38;49
6601;27;7;2021;3;5;14;39;46;49
6602;29;7;2021;14;19;30;34;35;46
6603;31;7;2021;18;26;28;42;44;48
6604;3;8;2021;6;25;27;31;45;47
6605;5;8;2021;5;9;14;15;27;35
6606;7;8;2021;3;18;23;36;42;47
6607;10;8;2021;7;11;16;28;39;45
6608;12;8;2021;5;27;30;37;41;42
6609;14;8;2021;1;3;21;28;31;39
6610;17;8;2021;4;6;9;25;29;36
6611;19;8;2021;12;13;17;23;46;48
6612;21;8;2021;13;17;27;33;41;46
6613;24;8;2021;3;6;20;31;45;46
6614;26;8;2021;10;23;27;30;42;44
6615;28;8;2021;1;9;28;38;39;49
6616;31;8;2021;3;11;20;22;26;47
6617;2;9;2021;1;5;11;29;31;36
6618;4;9;2021;12;21;32;44;47;49
6619;7;9;2021;14;15;23;38;42;43
6620;9;9;2021;2;3;10;13;16;23
6621;11;9;2021;9;18;32;34;35;39
6622;14;9;2021;10;18;29;34;41;45
6623;16;9;2021;2;27;32;34;39;49
6624;18;9;2021;11;15;18;20;22;39
6625;21;9;2021;1;2;9;15;40;44
6626;23;9;2021;6;8;12;13;17;44
6627;25;9;2021;3;8;15;18;31;41
6628;28;9;2021;2;3;8;39;40;46
6629;30;9;2021;3;4;15;22;37;46
6630;2;10;2021;6;8;12;26;30;34
6631;5;10;2021;1;3;22;40;43;47
6632;7;10;2021;11;26;35;37;41;49
6633;9;10;2021;6;10;18;24;29;42
6634;12;10;2021;4;5;21;30;31;48
6635;14;10;2021;10;11;24;27;34;35
6636;16;10;2021;4;7;15;24;31;34
6637;19;10;2021;17;23;32;33;36;38
6638;21;10;2021;17;19;23;25;27;33
6639;23;10;2021;1;21;24;32;33;35
6640;26;10;2021;18;19;25;27;29;39
6641;28;10;2021;23;28;33;39;43;47
6642;30;10;2021;12;24;30;34;39;43
6643;2;11;2021;3;18;25;30;36;40
6644;4;11;2021;1;9;10;31;39;41
6645;6;11;2021;15;23;24;35;42;48
6646;9;11;2021;6;7;9;19;30;37
6647;11;11;2021;4;16;17;30;35;41
6648;13;11;2021;3;17;21;34;35;47
6649;16;11;2021;1;6;9;25;34;47
6650;18;11;2021;6;17;18;25;29;35
6651;20;11;2021;3;21;27;38;39;48
6652;23;11;2021;2;11;17;18;19;49
6653;25;11;2021;8;13;15;23;45;47
6654;27;11;2021;6;13;20;22;28;39
6655;30;11;2021;26;27;31;34;36;39
6656;2;12;2021;4;6;11;16;19;23
6657;4;12;2021;5;11;13;17;39;43
6658;7;12;2021;9;20;29;33;45;48
6659;9;12;2021;3;13;18;24;38;40
6660;11;12;2021;2;4;9;13;18;23
6661;14;12;2021;3;6;15;37;44;47
6662;16;12;2021;16;25;26;29;38;47
6663;18;12;2021;4;11;13;15;33;44
6664;21;12;2021;5;11;12;37;42;46
6665;23;12;2021;3;13;19;23;48;49
6666;25;12;2021;1;7;10;12;14;46
6667;28;12;2021;4;5;11;29;36;39
6668;30;12;2021;3;5;26;31;41;44
6669;1;1;2022;4;6;11;29;32;48
6670;4;1;2022;1;16;25;32;37;45
6671;6;1;2022;2;4;6;18;38;42
6672;8;1;2022;12;19;26;38;40;47
6673;11;1;2022;9;12;25;27;37;38
6674;13;1;2022;21;27;29;32;40;41
6675;15;1;2022;13;19;23;26;41;42
6676;18;1;2022;2;10;24;29;44;46
6677;20;1;2022;6;12;23;28;31;40
6678;22;1;2022;3;10;19;20;21;44
6679;25;1;2022;9;10;19;22;36;38
6680;27;1;2022;3;7;9;35;45;49
6681;29;1;2022;8;20;31;33;36;44
6682;1;2;2022;5;12;17;19;32;35
6683;3;2;2022;5;14;19;20;23;46
6684;5;2;2022;19;22;30;40;44;47
6685;8;2;2022;3;12;15;17;28;49
6686;10;2;2022;7;14;36;44;45;47
6687;12;2;2022;10;24;33;40;47;49
6688;15;2;2022;2;8;9;17;26;27
6689;17;2;2022;2;3;9;23;28;36
6690;19;2;2022;11;17;30;33;35;43
6691;22;2;2022;3;7;21;25;41;47
6692;24;2;2022;9;31;33;37;40;43
6693;26;2;2022;11;23;27;40;43;44
6694;1;3;2022;2;9;10;13;28;35
6695;3;3;2022;7;14;15;34;35;37
6696;5;3;2022;5;9;26;33;42;45
6697;8;3;2022;8;11;14;26;39;49
6698;10;3;2022;3;5;14;19;26;28
6699;12;3;2022;8;11;20;38;39;49
6700;15;3;2022;6;9;16;17;40;47
6701;17;3;2022;6;7;22;28;34;35
6702;19;3;2022;6;7;8;28;29;44
6703;22;3;2022;7;11;17;27;32;34
6704;24;3;2022;13;15;23;25;39;49
6705;26;3;2022;24;26;32;34;43;45
6706;29;3;2022;7;19;24;28;40;44
6707;31;3;2022;6;7;9;12;17;40
6708;2;4;2022;15;17;27;30;42;46
6709;5;4;2022;1;7;11;15;20;42
6710;7;4;2022;1;5;14;27;42;47
6711;9;4;2022;16;21;24;38;40;46
6712;12;4;2022;12;19;26;27;44;46
6713;14;4;2022;5;8;26;39;41;43
6714;16;4;2022;5;12;20;21;37;45
6715;19;4;2022;4;30;35;37;48;49
6716;21;4;2022;2;14;15;17;36;42
6717;23;4;2022;3;5;15;23;29;35
6718;26;4;2022;3;15;29;45;46;48
6719;28;4;2022;1;2;7;17;44;48
6720;30;4;2022;12;14;16;32;42;49
6721;3;5;2022;3;11;12;20;23;32
6722;5;5;2022;14;23;28;39;42;47
6723;7;5;2022;4;5;10;37;38;45
6724;10;5;2022;1;6;8;20;29;47
6725;12;5;2022;1;13;26;34;36;42
6726;14;5;2022;12;16;23;24;26;44
6727;17;5;2022;1;16;19;30;35;41
6728;19;5;2022;11;16;19;21;29;34
6729;21;5;2022;20;21;23;26;37;39
6730;24;5;2022;13;19;23;24;39;46
6731;26;5;2022;7;8;11;19;31;38
6732;28;5;2022;7;8;14;16;38;40
6733;31;5;2022;9;22;23;30;44;46
6734;2;6;2022;2;17;34;44;47;49
6735;4;6;2022;6;12;17;19;42;48
6736;7;6;2022;2;4;5;10;12;16
6737;9;6;2022;8;9;21;34;39;41
6738;11;6;2022;10;12;17;18;20;24
6739;14;6;2022;4;16;18;28;29;42
6740;16;6;2022;4;6;13;14;21;42
6741;18;6;2022;11;13;20;32;33;47
6742;21;6;2022;6;9;13;38;40;46
6743;23;6;2022;10;13;22;42;44;48
6744;25;6;2022;3;13;15;19;31;40
6745;28;6;2022;1;3;14;20;22;37
6746;30;6;2022;2;16;20;39;42;48
6747;2;7;2022;1;9;19;27;30;31
6748;5;7;2022;8;9;10;39;46;49
6749;7;7;2022;2;28;38;39;42;49
6750;9;7;2022;7;17;21;26;38;48
6751;12;7;2022;2;8;13;21;22;48
6752;14;7;2022;13;17;19;38;42;45
6753;16;7;2022;6;13;15;36;44;47
6754;19;7;2022;7;11;15;21;24;47
6755;21;7;2022;3;8;17;39;45;48
6756;23;7;2022;1;3;13;20;36;39
6757;26;7;2022;6;8;19;23;29;45
6758;28;7;2022;8;18;22;25;27;47
6759;30;7;2022;10;12;13;17;20;25
6760;2;8;2022;24;28;29;38;45;49
6761;4;8;2022;12;28;30;35;45;47
6762;6;8;2022;9;11;37;39;42;47
6763;9;8;2022;1;7;18;28;34;39
6764;11;8;2022;2;11;14;34;44;49
6765;13;8;2022;5;9;10;26;44;46
6766;16;8;2022;1;3;6;28;31;39
6767;18;8;2022;8;14;26;29;30;39
6768;20;8;2022;7;16;20;26;28;40
6769;23;8;2022;17;28;29;32;37;40
6770;25;8;2022;28;29;35;38;39;42
6771;27;8;2022;1;3;20;30;40;44
6772;30;8;2022;1;10;15;16;25;27
6773;1;9;2022;1;9;11;26;31;33
6774;3;9;2022;1;12;16;26;30;45
6775;6;9;2022;15;19;27;32;38;41
6776;8;9;2022;6;10;17;19;21;29
6777;10;9;2022;8;28;33;34;40;41
6778;13;9;2022;8;12;24;26;31;43
6779;15;9;2022;7;11;32;37;43;44
6780;17;9;2022;6;33;34;38;40;42
6781;20;9;2022;1;10;15;18;34;44
6782;22;9;2022;10;20;34;36;45;47
6783;24;9;2022;12;32;33;37;44;48
6784;27;9;2022;7;8;13;41;42;48
6785;29;9;2022;4;15;19;28;34;42
6786;1;10;2022;9;12;18;22;27;40
6787;4;10;2022;6;7;16;34;39;40
6788;6;10;2022;4;7;20;22;33;44
6789;8;10;2022;3;13;14;26;44;48
6790;11;10;2022;7;12;15;32;43;47
6791;13;10;2022;2;10;15;28;35;45
6792;15;10;2022;4;18;19;30;39;42
6793;18;10;2022;8;15;24;26;35;44
6794;20;10;2022;1;12;28;33;45;48
6795;22;10;2022;9;22;23;34;39;49
6796;25;10;2022;1;13;30;31;32;40
6797;27;10;2022;14;22;23;24;26;37
6798;29;10;2022;10;29;31;32;38;48
6799;1;11;2022;17;20;25;34;40;49
6800;3;11;2022;5;6;10;26;38;44
6801;5;11;2022;1;11;13;18;23;27
6802;8;11;2022;5;6;10;20;21;26
6803;10;11;2022;3;6;26;33;42;43
6804;12;11;2022;2;10;30;34;37;44
6805;15;11;2022;4;6;15;18;38;45
6806;17;11;2022;13;25;29;33;36;43
6807;19;11;2022;4;9;20;26;34;48
6808;22;11;2022;1;7;14;16;36;46
6809;24;11;2022;27;28;29;36;41;46
6810;26;11;2022;11;26;27;28;42;48
6811;29;11;2022;2;4;29;32;35;42
6812;1;12;2022;8;12;21;27;32;39
6813;3;12;2022;9;13;24;25;26;40
6814;6;12;2022;13;23;29;37;42;49
6815;8;12;2022;7;24;27;34;45;47
6816;10;12;2022;13;19;27;36;40;45
6817;13;12;2022;4;13;20;26;36;38
6818;15;12;2022;23;27;28;29;43;44
6819;17;12;2022;11;13;31;40;42;49
6820;20;12;2022;4;13;23;28;33;40
6821;22;12;2022;6;21;30;34;47;48
6822;24;12;2022;14;18;21;24;37;46
6823;27;12;2022;4;11;31;42;43;45
6824;29;12;2022;20;25;32;35;38;47
6825;31;12;2022;6;12;13;22;44;45
6826;3;1;2023;1;20;21;25;29;35
6827;5;1;2023;1;3;6;17;21;23
6828;7;1;2023;4;11;21;35;36;49
6829;10;1;2023;1;6;9;18;20;21
6830;12;1;2023;8;12;24;29;41;44
6831;14;1;2023;19;27;32;47;48;49
6832;17;1;2023;3;35;43;46;48;49
6833;19;1;2023;2;10;13;15;34;40
6834;21;1;2023;13;19;27;39;40;48
6835;24;1;2023;10;14;29;35;37;48
6836;26;1;2023;3;5;13;14;38;42
6837;28;1;2023;9;14;19;22;36;37
6838;31;1;2023;25;30;33;36;41;46
6839;2;2;2023;3;7;8;11;38;44
6840;4;2;2023;1;8;26;32;34;40
6841;7;2;2023;16;35;36;37;44;47
6842;9;2;2023;27;33;38;39;40;41
6843;11;2;2023;7;10;34;38;39;45
6844;14;2;2023;3;18;30;36;40;47
6845;16;2;2023;2;4;10;14;40;47
6846;18;2;2023;4;8;22;25;37;41
6847;21;2;2023;1;26;43;46;47;49
6848;23;2;2023;5;7;13;18;36;41
6849;25;2;2023;5;13;16;20;26;43
6850;28;2;2023;2;20;29;30;31;33
6851;2;3;2023;6;26;28;30;38;41
6852;4;3;2023;17;23;27;31;43;44
6853;7;3;2023;4;14;17;27;31;32
6854;9;3;2023;15;24;28;29;30;47
6855;11;3;2023;21;33;34;38;40;48
6856;14;3;2023;2;5;13;20;37;38
6857;16;3;2023;2;7;12;18;27;42
6858;18;3;2023;6;9;15;16;17;30
6859;21;3;2023;6;9;17;24;29;41
6860;23;3;2023;22;23;26;30;34;49
6861;25;3;2023;15;17;25;26;31;41
6862;28;3;2023;12;25;36;44;46;48
6863;30;3;2023;1;7;8;34;37;47
6864;1;4;2023;15;18;30;41;47;49
6865;4;4;2023;1;18;22;26;33;36
6866;6;4;2023;3;13;16;27;38;49
6867;8;4;2023;4;12;14;20;41;43
6868;11;4;2023;5;6;10;14;25;45
6869;13;4;2023;7;9;10;45;48;49
6870;15;4;2023;8;10;15;19;34;37
6871;18;4;2023;5;12;14;28;29;47
6872;20;4;2023;6;12;21;28;42;45
6873;22;4;2023;13;14;28;31;36;41
6874;25;4;2023;3;23;24;27;42;46
6875;27;4;2023;11;22;26;29;34;37
6876;29;4;2023;1;7;12;14;25;48
6877;2;5;2023;4;11;19;26;29;48
6878;4;5;2023;13;22;25;27;33;34
6879;6;5;2023;10;23;24;30;35;38
6880;9;5;2023;7;10;20;21;37;38
6881;11;5;2023;1;6;11;17;22;44
6882;13;5;2023;6;9;26;30;35;39
6883;16;5;2023;1;7;10;14;17;20
6884;18;5;2023;4;11;19;23;32;40
6885;20;5;2023;7;20;27;29;42;45
6886;23;5;2023;2;17;24;26;34;38
6887;25;5;2023;10;22;35;37;43;45
6888;27;5;2023;3;10;16;30;39;49
6889;30;5;2023;2;12;13;16;27;34
6890;1;6;2023;11;19;25;35;39;42
6891;3;6;2023;4;10;19;21;23;27
6892;6;6;2023;5;26;33;37;41;44
6893;8;6;2023;15;16;17;24;25;29
6894;10;6;2023;5;10;20;28;30;37
6895;13;6;2023;2;4;7;12;35;46
6896;15;6;2023;10;19;23;33;40;45
6897;17;6;2023;18;19;20;27;35;43
6898;20;6;2023;11;13;17;22;37;41
6899;22;6;2023;21;31;32;38;43;49
6900;24;6;2023;5;14;21;28;38;43
6901;27;6;2023;25;27;35;39;43;49
6902;29;6;2023;3;22;24;26;32;41
6903;1;7;2023;2;14;19;20;23;48
6904;4;7;2023;1;6;9;23;25;36
6905;6;7;2023;13;15;16;37;39;49
6906;8;7;2023;11;14;18;26;28;30
6907;11;7;2023;7;15;16;21;32;48
6908;13;7;2023;14;19;25;32;33;39
6909;15;7;2023;3;17;31;35;40;48
6910;18;7;2023;3;5;15;39;41;46
6911;20;7;2023;2;3;7;21;27;45
6912;22;7;2023;5;14;28;34;38;39
6913;25;7;2023;7;8;10;22;31;38
6914;27;7;2023;6;10;11;24;30;38
6915;29;7;2023;6;9;20;21;35;38
6916;1;8;2023;6;7;11;13;17;28
6917;3;8;2023;8;17;25;28;43;48
6918;5;8;2023;2;27;29;34;41;44
6919;8;8;2023;5;6;16;21;27;38
6920;10;8;2023;3;17;24;29;39;44
6921;12;8;2023;8;14;17;27;29;39
6922;15;8;2023;17;18;23;26;28;47
6923;17;8;2023;1;17;20;30;35;49
6924;19;8;2023;7;18;20;39;47;49
6925;22;8;2023;10;11;14;35;40;43
6926;24;8;2023;3;11;38;43;44;45
6927;26;8;2023;2;3;19;21;31;39
6928;29;8;2023;3;10;11;26;39;46
6929;31;8;2023;12;26;39;40;43;44
6930;2;9;2023;8;12;18;19;26;42
6931;5;9;2023;9;11;24;28;33;39
6932;7;9;2023;6;13;14;38;47;48
6933;9;9;2023;1;11;15;25;27;37
6934;12;9;2023;18;21;28;39;45;48
6935;14;9;2023;5;12;33;41;45;46
6936;16;9;2023;20;27;36;39;44;45
6937;19;9;2023;36;39;41;45;47;49
6938;21;9;2023;6;13;14;19;27;45
6939;23;9;2023;15;21;29;44;46;47
6940;26;9;2023;2;17;26;32;37;46
6941;28;9;2023;5;10;22;26;32;38
6942;30;9;2023;18;23;25;28;42;45
6943;3;10;2023;10;19;28;33;40;41
6944;5;10;2023;5;37;38;45;47;48
6945;7;10;2023;4;13;14;31;40;48
6946;10;10;2023;24;27;32;37;41;47
6947;12;10;2023;18;28;34;40;44;46
6948;14;10;2023;3;10;22;42;44;47
6949;17;10;2023;9;18;19;40;44;49
6950;19;10;2023;12;17;19;28;42;47
6951;21;10;2023;15;17;36;38;42;44
6952;24;10;2023;2;9;19;33;41;44
6953;26;10;2023;15;31;33;40;41;45
6954;28;10;2023;21;29;34;36;47;48
6955;31;10;2023;16;18;24;33;40;47
6956;2;11;2023;21;22;33;36;37;45
6957;4;11;2023;4;5;12;30;31;38
6958;7;11;2023;3;14;21;25;28;29
6959;9;11;2023;7;13;17;27;40;49
6960;11;11;2023;12;14;26;32;40;43
6961;14;11;2023;6;7;8;16;31;34
6962;16;11;2023;10;16;24;29;35;45
6963;18;11;2023;5;13;26;30;42;49
6964;21;11;2023;10;20;33;37;39;44
6965;23;11;2023;7;16;17;32;34;36
6966;25;11;2023;8;15;21;26;38;43
6967;28;11;2023;1;9;23;33;41;49
6968;30;11;2023;4;15;18;25;39;47
6969;2;12;2023;5;12;26;38;39;43
6970;5;12;2023;9;14;20;22;39;47
6971;7;12;2023;7;8;12;17;31;37
6972;9;12;2023;3;6;15;17;20;46
6973;12;12;2023;1;18;20;31;32;48
6974;14;12;2023;2;4;12;26;35;40
6975;16;12;2023;4;21;23;34;40;44
6976;19;12;2023;7;8;22;34;43;44
6977;21;12;2023;24;25;30;35;45;46
6978;23;12;2023;6;10;16;23;39;46
6979;26;12;2023;11;21;32;37;40;47
6980;28;12;2023;19;23;28;29;32;33
6981;30;12;2023;6;17;21;24;40;49
6982;2;1;2024;15;16;17;34;42;45
6983;4;1;2024;8;9;11;30;31;37
6984;6;1;2024;9;22;25;36;46;48
6985;9;1;2024;11;17;27;35;37;43
6986;11;1;2024;2;8;19;27;40;42
6987;13;1;2024;11;22;23;26;31;32
6988;16;1;2024;4;15;16;17;45;46
6989;18;1;2024;29;34;43;44;48;49
6990;20;1;2024;27;28;30;31;35;45
6991;23;1;2024;20;26;29;31;37;42
6992;25;1;2024;9;11;25;40;42;46
6993;27;1;2024;4;5;9;29;36;37
6994;30;1;2024;2;3;8;16;32;37
6995;1;2;2024;3;4;11;31;42;48
6996;3;2;2024;21;29;34;40;44;46
6997;6;2;2024;6;8;26;28;34;40
6998;8;2;2024;4;5;14;23;30;36
6999;10;2;2024;1;2;15;19;34;48
7000;13;2;2024;1;11;28;29;31;41
7001;15;2;2024;17;19;25;35;45;47
